   29:7   error    Hardcoded color '#9400d3' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   32:7   error    Hardcoded color '#00f5ff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   33:7   error    Hardcoded color '#ff00ff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   35:7   error    Hardcoded color '#00ff00' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   36:7   error    Hardcoded color '#ff0080' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   37:7   error    Hardcoded color '#8000ff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   38:7   error    Hardcoded color '#00ffff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   41:7   error    Hardcoded color '#ff6b6b' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   42:7   error    Hardcoded color '#ffd93d' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   43:7   error    Hardcoded color '#6bcf7f' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   44:7   error    Hardcoded color '#4d96ff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   45:7   error    Hardcoded color '#9b59b6' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   46:7   error    Hardcoded color '#e74c3c' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
